,City Name,City Country,City ID,City Lat,City Long,Temps (F),Humidity %,Cloudiness %,Windspeed (mph),City Datetime
126,atyrau,KZ,610529,47.12,51.88,32.0,91,75,4.47,1580179675
127,itoman,JP,1861280,26.12,127.67,66.2,55,75,13.87,1580179895
128,port macquarie,AU,2152659,-31.43,152.92,97.0,49,0,13.87,1580179897
129,nisia floresta,BR,3393922,-6.09,-35.21,82.4,78,40,8.05,1580179897
130,tura,IN,1254046,25.52,90.22,64.58,58,0,6.42,1580179505
131,puerto ayora,EC,3652764,-0.74,-90.35,73.99,18,81,1.99,1580179899
132,morant bay,JM,3489440,17.88,-76.41,78.8,74,40,3.36,1580179900
133,faanui,PF,4034551,-16.48,-151.75,83.16,73,66,10.45,1580179900
134,pacific grove,US,5380437,36.62,-121.92,55.4,87,1,4.7,1580179901
135,general roca,AR,3855065,-39.03,-67.58,73.4,53,0,6.22,1580179902
136,thompson,CA,6165406,55.74,-97.86,10.4,92,90,2.24,1580179603
137,makakilo city,US,5850554,21.35,-158.09,82.4,57,1,8.05,1580179903
138,muravlenko,RU,1540711,63.79,74.52,0.19,96,100,17.2,1580179904
139,bida,NG,2347209,9.08,6.02,68.68,18,0,3.4,1580179904
140,cayenne,GF,3382160,4.93,-52.33,78.8,88,75,5.23,1580179905
141,lata,PT,2738381,40.16,-8.33,60.01,93,75,9.17,1580179545
142,college,US,5859699,64.86,-147.8,-20.99,74,90,3.02,1580179453
143,maykopskoye,RU,528289,45.39,40.77,38.98,76,100,6.2,1580179906
144,zyryanka,RU,2119283,65.75,150.85,-22.27,92,97,3.47,1580179907
145,yura,PE,3925467,-16.25,-71.68,57.2,93,75,3.36,1580179908
146,wanaka,NZ,2184707,-44.7,169.15,66.47,42,100,7.9,1580179908
147,kapaa,US,5848280,22.08,-159.32,80.6,65,40,8.05,1580179909
148,pemangkat,ID,1631637,1.17,108.97,85.17,72,100,5.3,1580179909
149,neiafu,TO,4032420,-18.65,-173.98,86.0,74,40,4.7,1580179910
150,mahebourg,MU,934322,-20.41,57.7,73.0,88,75,3.36,1580179910
151,samarai,PG,2132606,-10.62,150.67,83.66,77,93,6.35,1580179491
152,aswan,EG,359792,24.09,32.91,53.11,63,33,6.89,1580179912
153,nardaran,AZ,585388,40.56,50.01,42.8,75,0,6.93,1580179912
154,awallan,PH,1729909,17.92,121.91,80.29,60,3,2.71,1580179913
155,alyangula,AU,2079582,-13.85,136.42,91.4,66,99,14.99,1580179913
156,mogadishu,SO,53654,2.04,45.34,80.38,79,97,24.29,1580179887
157,jamestown,US,5122534,42.1,-79.24,33.01,92,90,9.17,1580179618
158,puerto narino,CO,3671387,-3.77,-70.38,80.6,94,75,2.24,1580179916
159,darhan,MN,2031964,49.49,105.92,3.31,84,0,3.24,1580179916
160,isilkul,RU,1505438,54.91,71.27,2.26,97,94,7.0,1580179418
161,tebingtinggi,ID,1213500,3.33,99.16,86.0,74,20,6.93,1580179918
162,surt,LY,2210554,31.21,16.59,53.37,86,0,4.76,1580179379
163,sur,OM,286245,22.57,59.53,62.64,59,0,9.91,1580179919
164,comodoro rivadavia,AR,3860443,-45.87,-67.5,77.0,38,100,32.21,1580179920
165,vila velha,BR,3445026,-20.33,-40.29,75.2,94,90,3.36,1580179800
166,dingle,PH,1714733,11.0,122.67,83.05,72,60,7.18,1580179449
167,esperance,AU,2071860,-33.87,121.9,104.0,16,0,24.16,1580179922
168,hofn,IS,2630299,64.25,-15.21,38.52,69,0,9.15,1580179922
169,tieling,CN,2034439,42.29,123.84,24.98,83,100,6.53,1580179923
170,golden,US,5423294,39.76,-105.22,37.4,91,40,5.44,1580179414
171,sompeta,IN,1255816,18.93,84.6,73.4,73,4,4.83,1580179571
172,lebu,CL,3883457,-37.62,-73.65,59.47,86,88,6.62,1580179924
173,marzuq,YE,72181,14.4,46.47,47.5,37,0,2.93,1580179925
174,kruisfontein,ZA,986717,-34.0,24.73,55.47,85,45,4.59,1580179629
175,yellowknife,CA,6185377,62.46,-114.35,15.8,92,90,6.93,1580179927
176,nikolsk,RU,521776,53.72,46.07,9.64,87,100,4.43,1580179927
177,margate,GB,2643044,51.38,1.39,43.0,93,75,11.41,1580179928
178,komsomolskiy,UZ,1513491,40.43,71.72,35.6,86,40,2.24,1580179929
179,rotifunk,SL,2404254,8.23,-12.68,71.28,97,100,1.1,1580179929
180,iroquois falls,CA,5984000,48.77,-80.68,19.4,100,90,9.17,1580179930
181,cape town,ZA,3369157,-33.93,18.42,61.0,93,28,6.93,1580179930
182,viedma,AR,3832899,-40.81,-63.0,69.6,33,84,23.04,1580179931
